Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Ленск;2015;22,31;34,22;36,87;87,72;146;145,79;129,89;124,28;123,04;132,06;110,64;62,18;1155
Лешуконское;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Липецк;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Магадан-13);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Сокол);2015;414;541;593;629;619;675;632;611;676;677;642;787;7496
Магнитогорск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Майкоп;2015;0;0;0;0;0;0;0;0;0;0;0;0;0
Мама;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Манилы;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Марково;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Махачкала(Уйташ);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Междуреченский;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Мезень;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Мильково;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Минеральные Воды;2015;98,7;107,9;122,8;117,2;160,2;96,7;166,1;135,1;154,7;175,8;209,5;149,1;1693,8
Мирный;2015;492,18;665,33;673,59;1071,22;840;997,71;913,96;655,25;793,28;1111,07;1119,12;1082,57;10415,28
Москва(Быково);2015;0;0;0;0;0;0;0;0;0;0;0;0;0
Москва(Внуково);2015;1921,84;2547,3;2794,45;3130,53;2658,88;3230,53;3491,09;3473,21;3894,9;3190,03;3372,45;3001,91;36707,12
Москва(Домодедово);2015;7736,75;9293,78;11081,5;10888,25;10324,59;10689,18;11448,59;11519,49;13651,87;11177,77;11197,04;14173,84;133182,65
Москва(Остафьево);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Москва(Шереметьево);2015;10428,9;11226,9;14128,3;15826,4;15133,8;14774,3;15335,3;15514,6;12209,9;16223,5;19240,5;18125,1;178167,5
Мотыгино;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Мурманск;2015;82,3;92,2;181,4;147,2;110,9;109,7;108,8;107,8;113,9;126,4;115,2;146,7;1442,5
Мыс Шмидта;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Мыс-Каменный;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Надым;2015;21,32;27,09;35,09;35,81;64,76;49,01;30,75;42,52;29,39;34,48;34,16;38,45;442,83
Назрань(Магас/Слепцовская);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нальчик;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нарьян-Мар;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нелькан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нерюнгри(Чульман);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Несь;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеангарск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижневартовск;2015;185,6;443,4;350,1;293,2;328,6;284,7;225,2;178;263,9;395,7;489,8;396,2;3834,4
Нижнекамск(Бегишево);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
